Date,Close,OPEN,High,Low
2004-01-01,1000.0,,,
2004-01-02,1028.2,,,
2004-01-05,1024.3,,,
2004-01-06,1007.2,,,
2004-01-07,982.49,,,
2004-01-08,1007.5,,,
2004-01-09,1020.2,,,
2004-01-12,1011.1,,,
2004-01-13,1017.3,,,
2004-01-14,1030.8,,,
2004-01-15,1019.9,,,
2004-01-16,993.7,,,
2004-01-19,999.64,,,
2004-01-20,984.73,,,
2004-01-21,910.71,,,
2004-01-22,882.46,,,
2004-01-23,925.24,,,
2004-01-27,954.91,,,
2004-01-28,934.31,,,
2004-01-29,929.0,,,
2004-01-30,900.66,,,
2004-02-03,863.32,,,
2004-02-04,891.79,,,
2004-02-05,899.89,,,
2004-02-06,909.86,,,
2004-02-09,933.44,,,
2004-02-10,935.31,,,
2004-02-11,945.49,,,
2004-02-12,961.76,,,
2004-02-13,968.39,,,
2004-02-16,977.27,,,
2004-02-17,976.23,,,
2004-02-18,975.95,,,
2004-02-19,952.66,,,
2004-02-20,949.54,,,
2004-02-23,928.24,,,
2004-02-24,928.78,,,
2004-02-25,920.02,,,
2004-02-26,912.89,,,
2004-02-27,922.42,,,
2004-03-01,938.64,,,
2004-03-03,936.81,,,
2004-03-04,930.82,,,
2004-03-05,934.91,,,
2004-03-08,952.52,,,
2004-03-09,945.76,,,
2004-03-10,934.28,,,
2004-03-11,919.52,,,
2004-03-12,921.4,,,
2004-03-15,894.8,,,
2004-03-16,878.68,,,
2004-03-17,886.0,,,
2004-03-18,871.98,,,
2004-03-19,879.59,,,
2004-03-22,852.61,,,
2004-03-23,845.24,,,
2004-03-24,850.34,,,
2004-03-25,859.62,,,
2004-03-26,889.79,,,
2004-03-29,908.22,,,
2004-03-30,915.99,,,
2004-03-31,923.27,,,
2004-04-01,948.42,,,
2004-04-02,955.81,,,
2004-04-05,970.92,,,
2004-04-06,963.4,,,
2004-04-07,964.8,,,
2004-04-08,977.75,,,
2004-04-12,983.63,,,
2004-04-13,1000.7,,,
2004-04-15,1019.2,,,
2004-04-16,1024.1,,,
2004-04-17,1036.2,,,
2004-04-19,1023.9,,,
2004-04-20,1021.9,,,
2004-04-21,1040.5,,,
2004-04-22,1063.5,,,
2004-04-23,1068.3,,,
2004-04-27,1015.2,,,
2004-04-28,1016.6,,,
2004-04-29,1025.8,,,
2004-04-30,1027.4,,,
2004-05-03,1003.2,,,
2004-05-04,1038.0,,,
2004-05-05,1046.2,,,
2004-05-06,1070.2,,,
2004-05-07,1062.1,,,
2004-05-10,1044.1,,,
2004-05-11,988.26,,,
2004-05-12,996.11,,,
2004-05-13,997.86,,,
2004-05-14,891.61,,,
2004-05-17,787.42,,,
2004-05-18,853.87,,,
2004-05-19,905.71,,,
2004-05-20,909.45,,,
2004-05-21,898.49,,,
2004-05-24,918.23,,,
2004-05-25,910.33,,,
2004-05-26,924.05,,,
2004-05-27,914.72,,,
2004-05-28,876.52,,,
2004-05-31,834.7,,,
2004-06-01,857.2,,,
2004-06-02,868.85,,,
2004-06-03,851.7,,,
2004-06-04,851.12,,,
2004-06-07,860.0,,,
