Date,Close
2005-04-01,1000.0
2005-04-04,1003.2
2005-04-05,996.44
2005-04-06,1006.6
2005-04-07,1004.6
2005-04-08,996.75
2005-04-11,987.1
2005-04-12,994.88
2005-04-13,995.47
2005-04-15,967.67
2005-04-18,958.16
2005-04-19,952.26
2005-04-20,958.36
2005-04-21,971.37
2005-04-22,981.72
2005-04-25,985.71
2005-04-26,983.4
2005-04-27,974.83
2005-04-28,972.32
2005-04-29,955.7
2005-05-02,954.75
2005-05-03,957.44
2005-05-04,969.46
2005-05-05,980.94
2005-05-06,986.56
2005-05-09,999.44
2005-05-10,999.23
2005-05-11,998.94
2005-05-12,1007.4
2005-05-13,1011.6
2005-05-16,1022.5
2005-05-17,1011.1
2005-05-18,1010.6
2005-05-19,1017.4
2005-05-20,1017.3
2005-05-23,1026.2
2005-05-24,1030.2
2005-05-25,1036.0
2005-05-26,1040.0
2005-05-27,1038.0
2005-05-30,1032.5
2005-05-31,1041.8
2005-06-01,1046.6
2005-06-02,1038.4
2005-06-03,1050.2
2005-06-04,1054.1
2005-06-06,1057.2
2005-06-07,1061.1
2005-06-08,1065.7
2005-06-09,1065.4
2005-06-10,1060.1
2005-06-13,1063.4
2005-06-14,1066.7
2005-06-15,1073.5
2005-06-16,1062.1
2005-06-17,1051.5
2005-06-20,1050.5
2005-06-21,1058.0
2005-06-22,1061.7
2005-06-23,1064.0
2005-06-24,1072.0
2005-06-27,1071.4
2005-06-28,1054.6
2005-06-29,1064.0
2005-06-30,1070.7
2005-07-01,1078.5
2005-07-04,1092.3
2005-07-05,1085.2
2005-07-06,1099.5
2005-07-07,1081.5
2005-07-08,1095.7
2005-07-11,1109.0
2005-07-12,1112.0
2005-07-13,1113.9
2005-07-14,1110.5
2005-07-15,1123.7
2005-07-18,1140.1
2005-07-19,1143.9
2005-07-20,1148.3
2005-07-21,1141.9
2005-07-22,1156.4
2005-07-25,1164.5
2005-07-26,1161.7
2005-07-27,1163.8
2005-07-29,1154.6
2005-08-01,1160.4
2005-08-02,1181.1
2005-08-03,1180.2
2005-08-04,1187.9
2005-08-05,1193.0
2005-08-08,1178.4
2005-08-09,1176.1
2005-08-10,1198.8
2005-08-11,1211.5
2005-08-12,1209.9
2005-08-16,1219.5
2005-08-17,1235.4
2005-08-18,1229.4
2005-08-19,1232.1
2005-08-22,1228.1
2005-08-23,1201.5
2005-08-24,1192.7
2005-08-25,1209.1
2005-08-26,1221.5
2005-08-29,1218.7
2005-08-30,1234.3
2005-08-31,1246.8
2005-09-01,1256.7
2005-09-02,1259.8
2005-09-05,1264.6
2005-09-06,1266.5
2005-09-08,1276.0
2005-09-09,1273.5
2005-09-12,1289.4
2005-09-13,1298.1
2005-09-14,1292.3
2005-09-15,1309.0
2005-09-16,1320.0
2005-09-19,1331.0
2005-09-20,1329.7
2005-09-21,1309.0
2005-09-22,1244.4
2005-09-23,1251.7
2005-09-26,1294.6
2005-09-27,1303.5
2005-09-28,1314.3
2005-09-29,1310.4
2005-09-30,1303.6
2005-10-03,1320.3
2005-10-04,1336.6
2005-10-05,1329.4
2005-10-06,1307.0
2005-10-07,1303.7
2005-10-10,1297.0
2005-10-11,1297.1
2005-10-13,1279.9
2005-10-14,1252.1
2005-10-17,1243.8
2005-10-18,1237.1
2005-10-19,1202.5
2005-10-20,1186.3
2005-10-21,1204.0
2005-10-24,1194.8
2005-10-25,1200.9
2005-10-26,1197.1
2005-10-27,1174.2
2005-10-28,1155.3
2005-10-31,1179.6
2005-11-01,1192.7
2005-11-02,1201.4
2005-11-07,1222.9
2005-11-08,1239.7
2005-11-09,1236.8
2005-11-10,1242.0
2005-11-11,1264.6
2005-11-14,1268.6
2005-11-16,1277.5
2005-11-17,1284.5
2005-11-18,1289.3
2005-11-21,1281.1
2005-11-22,1271.2
2005-11-23,1281.9
2005-11-24,1292.2
2005-11-25,1305.3
2005-11-26,1317.3
2005-11-28,1330.6
2005-11-29,1324.8
2005-11-30,1312.4
2005-12-01,1330.0
2005-12-02,1333.7
2005-12-05,1325.0
2005-12-06,1325.5
2005-12-07,1336.6
2005-12-08,1343.7
2005-12-09,1362.3
2005-12-12,1369.7
2005-12-13,1380.7
2005-12-14,1378.0
2005-12-15,1365.0
2005-12-16,1375.7
2005-12-19,1388.9
2005-12-20,1384.8
2005-12-21,1385.2
