Date,Close,Unnamed: 5,Unnamed: 6
2005-04-01,1000.0,,
2005-04-04,1015.88,,
2005-04-05,1012.58,,
2005-04-06,1026.82,,
2005-04-07,1021.33,,
2005-04-08,1013.41,,
2005-04-11,1001.53,,
2005-04-12,1008.69,,
2005-04-13,1011.14,,
2005-04-15,986.24,,
2005-04-18,973.17,,
2005-04-19,976.36,,
2005-04-20,987.08,,
2005-04-21,1004.6,,
2005-04-22,1024.86,,
2005-04-25,1028.71,,
2005-04-26,1024.31,,
2005-04-27,1010.7,,
2005-04-28,1007.19,,
2005-04-29,992.08,,
2005-05-02,982.33,,
2005-05-03,985.89,,
2005-05-04,995.81,,
2005-05-05,1002.55,,
2005-05-06,1005.76,,
2005-05-09,1021.11,,
2005-05-10,1016.86,,
2005-05-11,1019.8,,
2005-05-12,1029.85,,
2005-05-13,1036.56,,
2005-05-16,1049.07,,
2005-05-17,1039.45,,
2005-05-18,1046.93,,
2005-05-19,1052.17,,
2005-05-20,1045.23,,
2005-05-23,1052.92,,
2005-05-24,1058.19,,
2005-05-25,1061.85,,
2005-05-26,1060.89,,
2005-05-27,1055.21,,
2005-05-30,1047.43,,
2005-05-31,1052.85,,
2005-06-01,1059.04,,
2005-06-02,1050.59,,
2005-06-03,1056.21,,
2005-06-04,1056.53,,
2005-06-06,1057.77,,
2005-06-07,1058.31,,
2005-06-08,1057.31,,
2005-06-09,1062.01,,
2005-06-10,1059.21,,
2005-06-13,1058.05,,
2005-06-14,1061.73,,
2005-06-15,1067.2,,
2005-06-16,1052.9,,
2005-06-17,1036.09,,
2005-06-20,1028.16,,
2005-06-21,1031.3,,
2005-06-22,1031.4,,
2005-06-23,1036.29,,
2005-06-24,1047.19,,
2005-06-27,1043.0,,
2005-06-28,1024.8,,
2005-06-29,1035.07,,
2005-06-30,1035.33,,
2005-07-01,1050.11,,
2005-07-04,1068.31,,
2005-07-05,1067.85,,
2005-07-06,1087.43,,
2005-07-07,1073.51,,
2005-07-08,1090.09,,
2005-07-11,1103.16,,
2005-07-12,1103.3,,
2005-07-13,1112.33,,
2005-07-14,1115.85,,
2005-07-15,1126.44,,
2005-07-18,1152.83,,
2005-07-19,1166.9,,
2005-07-20,1164.78,,
2005-07-21,1163.88,,
2005-07-22,1176.85,,
2005-07-25,1181.06,,
2005-07-26,1178.11,,
2005-07-27,1182.36,,
2005-07-29,1178.96,,
2005-08-01,1191.13,,
2005-08-02,1218.51,,
2005-08-03,1220.89,,
2005-08-04,1225.5,,
2005-08-05,1239.68,,
2005-08-08,1229.29,,
2005-08-09,1222.59,,
2005-08-10,1253.73,,
2005-08-11,1280.29,,
2005-08-12,1284.83,,
2005-08-16,1292.61,,
2005-08-17,1306.08,,
2005-08-18,1307.31,,
2005-08-19,1303.04,,
2005-08-22,1303.87,,
2005-08-23,1272.07,,
2005-08-24,1247.99,,
2005-08-25,1260.68,,
2005-08-26,1291.58,,
2005-08-29,1288.51,,
2005-08-30,1309.72,,
2005-08-31,1317.4,,
2005-09-01,1338.4,,
2005-09-02,1341.62,,
2005-09-05,1342.84,,
2005-09-06,1347.31,,
2005-09-08,1359.97,,
2005-09-09,1360.47,,
2005-09-12,1373.04,,
2005-09-13,1384.31,,
2005-09-14,1376.23,,
2005-09-15,1395.92,,
2005-09-16,1404.07,,
2005-09-19,1439.46,,
2005-09-20,1427.4,,
2005-09-21,1393.49,,
2005-09-22,1326.56,,
2005-09-23,1339.32,,
2005-09-26,1384.93,,
2005-09-27,1413.02,,
2005-09-28,1438.04,,
2005-09-29,1440.76,,
2005-09-30,1428.64,,
2005-10-03,1434.06,,
2005-10-04,1439.94,,
2005-10-05,1442.17,,
2005-10-06,1425.14,,
2005-10-07,1419.4,,
2005-10-10,1414.63,,
2005-10-11,1404.89,,
2005-10-13,1392.33,,
2005-10-14,1358.44,,
2005-10-17,1344.86,,
2005-10-18,1340.56,,
2005-10-19,1300.91,,
2005-10-20,1271.79,,
2005-10-21,1297.97,,
2005-10-24,1302.43,,
2005-10-25,1297.74,,
2005-10-26,1292.18,,
2005-10-27,1270.82,,
2005-10-28,1251.91,,
2005-10-31,1285.1,,
2005-11-01,1303.89,,
2005-11-02,1312.8,,
2005-11-07,1339.99,,
2005-11-08,1362.04,,
2005-11-09,1368.89,,
2005-11-10,1366.89,,
2005-11-11,1387.79,,
2005-11-14,1392.4,,
2005-11-16,1396.77,,
2005-11-17,1397.58,,
2005-11-18,1402.22,,
2005-11-21,1394.87,,
2005-11-22,1386.89,,
2005-11-23,1394.03,,
2005-11-24,1399.31,,
2005-11-25,1408.69,,
2005-11-26,1432.38,,
2005-11-28,1450.75,,
2005-11-29,1443.37,,
2005-11-30,1441.76,,
2005-12-01,1461.72,,
2005-12-02,1482.08,,
2005-12-05,1475.68,,
2005-12-06,1474.96,,
2005-12-07,1484.56,,
2005-12-08,1490.88,,
2005-12-09,1511.04,,
2005-12-12,1525.18,,
2005-12-13,1539.82,,
2005-12-14,1527.8,,
2005-12-15,1509.15,,
2005-12-16,1513.79,,
2005-12-19,1529.2,,
2005-12-20,1521.25,,
2005-12-21,1529.07,,
2005-12-22,1531.78,,
2005-12-23,1528.49,,
2005-12-26,1500.41,,
2005-12-27,1524.96,,
2005-12-28,1529.4,,
2005-12-29,1543.0,,
2005-12-30,1562.85,,
2006-01-02,1587.3,,
2006-01-03,1610.61,,
2006-01-04,1617.32,,
2006-01-05,1615.69,,
2006-01-06,1635.77,,
2006-01-09,1653.75,,
2006-01-10,1644.48,,
2006-01-12,1634.75,,
2006-01-13,1644.1,,
2006-01-16,1636.24,,
2006-01-17,1630.5,,
2006-01-18,1623.73,,
2006-01-19,1656.9,,
2006-01-20,1682.8,,
2006-01-23,1688.42,,
2006-01-24,1697.41,,
2006-01-25,1699.75,,
2006-01-27,1744.94,,
2006-01-30,1723.57,,
2006-01-31,1720.15,,
2006-02-01,1701.94,,
2006-02-02,1697.62,,
2006-02-03,1701.29,,
2006-02-06,1725.06,,
2006-02-07,1749.1,,
2006-02-08,1743.2,,
2006-02-10,1764.92,,
2006-02-13,1782.35,,
2006-02-14,1774.68,,
2006-02-15,1769.54,,
2006-02-16,1786.47,,
2006-02-17,1769.6,,
2006-02-20,1754.33,,
2006-02-21,1775.03,,
2006-02-22,1774.96,,
2006-02-23,1763.61,,
2006-02-24,1767.04,,
2006-02-27,1782.12,,
2006-02-28,1781.31,,
2006-03-01,1820.15,,
2006-03-02,1850.04,,
2006-03-03,1873.53,,
2006-03-06,1902.63,,
2006-03-07,1925.0,,
2006-03-08,1895.82,,
2006-03-09,1899.19,,
2006-03-10,1931.39,,
2006-03-13,1952.98,,
2006-03-14,1945.1,,
2006-03-16,1955.09,,
2006-03-17,1950.01,,
2006-03-20,1964.83,,
2006-03-21,1975.45,,
2006-03-22,1955.16,,
2006-03-23,1964.38,,
2006-03-24,1985.63,,
2006-03-27,1998.29,,
2006-03-28,1991.79,,
2006-03-29,2005.75,,
2006-03-30,2021.86,,
2006-03-31,2043.11,,
2006-04-03,2090.92,,
2006-04-04,2103.76,,
2006-04-05,2118.22,,
2006-04-07,2096.91,,
2006-04-10,2108.08,,
2006-04-12,2070.1,,
2006-04-13,2035.47,,
2006-04-17,2057.81,,
2006-04-18,2075.99,,
2006-04-19,2084.54,,
2006-04-20,2100.67,,
2006-04-21,2108.62,,
2006-04-24,2114.63,,
2006-04-25,2092.52,,
2006-04-26,2119.6,,
2006-04-27,2126.46,,
2006-04-28,2120.54,,
2006-04-29,2159.86,,
2006-05-02,2164.43,,
2006-05-03,2154.87,,
2006-05-04,2150.47,,
2006-05-05,2143.53,,
2006-05-08,2152.51,,
2006-05-09,2152.71,,
2006-05-10,2160.84,,
2006-05-11,2149.75,,
2006-05-12,2140.03,,
2006-05-15,2068.8,,
2006-05-16,2051.97,,
2006-05-17,2107.64,,
2006-05-18,1999.57,,
2006-05-19,1912.91,,
2006-05-22,1800.6,,
2006-05-23,1836.53,,
2006-05-24,1820.57,,
2006-05-25,1796.62,,
2006-05-26,1817.92,,
2006-05-29,1836.54,,
2006-05-30,1843.68,,
2006-05-31,1805.51,,
2006-06-01,1746.97,,
2006-06-02,1726.75,,
2006-06-05,1693.69,,
2006-06-06,1624.2,,
2006-06-07,1527.62,,
2006-06-08,1422.52,,
2006-06-09,1495.72,,
2006-06-12,1474.78,,
2006-06-13,1373.63,,
2006-06-14,1322.98,,
2006-06-15,1406.38,,
2006-06-16,1473.16,,
2006-06-19,1511.35,,
2006-06-20,1513.07,,
2006-06-21,1560.11,,
2006-06-22,1596.4,,
